ESTRUCTURA DE COMPUTADORS I%Teo1M, 0.04% R. Tomas%Monday%9:00%10:50%1%1
FÍSICA%Teo2M, P2.09% M. Carrera%Monday%9:00%10:50%1%1
ÀLGEBRA%Teo1M, 0.03% M. Valls%Tuesday%9:00%10:50%1%1
LÒGICA COMPUTACIONAL%Teo2M, P1.12% C. Ansótegui/J. Alòs%Tuesday%9:00%10:50%1%1
ÀLGEBRA%PraAula1M, 0.04% M. Valls%Wednesday%9:00%10:50%1%1
PROGRAMACIÓ I%Teo2M, P1.12% T. Alsinet%Wednesday%9:00%10:50%1%1
FÍSICA%PraAula1M, P2.09% M. Carrera%Thursday%9:00%10:50%1%1
LÒGICA COMPUTACIONAL%PraLab3, 3.04 L2% C. Ansótegui/J. Alòs%Thursday%9:00%10:50%1%1
PROGRAMACIÓ I%PraLab4, L5 (-1,01)% J. Argelich%Thursday%9:00%10:50%1%1
ESTRUCTURA DE COMPUTADORS I%PraLab1, -1.01(L5)% C. Roig%Friday%9:00%10:50%1%1
LÒGICA COMPUTACIONAL%PraLab2, 3.04 (L2)% C. Ansótegui/J. Alòs%Friday%9:00%10:50%1%1
PROGRAMACIÓ I%PraLab3, P1.08% J. Argelich%Friday%9:00%10:50%1%1
ESTRUCTURA DE COMPUTADORS I%PraLab4,P1.09% J. M. Solà%Friday%9:00%10:50%1%1
FÍSICA%Teo1M, 0.04% M. Carrera%Monday%11:10%13:00%1%1
ESTRUCTURA DE COMPUTADORS I%Teo2M, P2.09% C. Roig%Monday%11:10%13:00%1%1
LÒGICA COMPUTACIONAL%Teo1M, 0.03% C. Ansótegui/J. Alòs%Tuesday%11:10%13:00%1%1
ÀLGEBRA%Teo2M, P1.12% J. M. Miret%Tuesday%11:10%13:00%1%1
PROGRAMACIÓ I%Teo1M, 0.04% T. Alsinet%Wednesday%11:10%13:00%1%1
ÀLGEBRA%PraAula2M, P1.12% J.M. Miret%Wednesday%11:10%13:00%1%1
FÍSICA%PraAula2M, P2.09% M. Carrera%Thursday%11:10%13:00%1%1
LÒGICA COMPUTACIONAL%PraLab1, -1.01(L5)% C. Ansótegui/J. Alòs%Thursday%11:10%13:00%1%1
PROGRAMACIÓ I%PraLab2, 3.04 L2% J. Argelich%Thursday%11:10%13:00%1%1
PROGRAMACIÓ I%PraLab1, -1.01(L5)% J. Argelich%Friday%11:10%13:00%1%1
ESTRUCTURA DE COMPUTADORS I%PraLab2, 3.04 (L2)% J. M. Solà%Friday%11:10%13:00%1%1
ESTRUCTURA DE COMPUTADORS I%PraLab3, P1.01% C. Roig%Friday%11:10%13:00%1%1
LÒGICA COMPUTACIONAL%PraLab4, P1.09% C. Ansótegui/J. Alòs%Friday%11:10%13:00%1%1
BASES DE DADES%Teo1T/PraAula1, 0.04% M. Oliva/R. Ariño/ A. Corchero*%Monday%15:00%16:50%2%1
SISTEMES OPERATIUS%Teo2T, 0.03% F. Solsona/S. Lopez%Monday%15:00%16:50%2%1
MATEMÀTICA DISCRETA%Teo1T, 0.04% I. López%Tuesday%15:00%16:50%2%1
ESTRUCTURES DE DADES%GPraLab2, P1.08% J.J. Domingo%Tuesday%15:00%16:50%2%1
ESTRUCTURES DE DADES%Teo1T, 0.03% J.E. Garrido%Wednesday%15:00%16:50%2%1
MATEMÀTICA DISCRETA%PraAula2, 0.04% I. López/J. M. Ceresuela%Wednesday%15:00%16:50%2%1
SISTEMES OPERATIUS%Teo1T, 0.04% F. Cores/S. Lopez *%Thursday%15:00%16:50%2%1
BASES DE DADES%Teo2T/PraAula2, 0.03% M. Oliva/R. Ariño/ A. Corchero%Thursday%15:00%16:50%2%1
SISTEMES OPERATIUS%GPraLab2, -1.01(L5)% V. Pardo%Friday%15:00%16:50%2%1
SISTEMES OPERATIUS%GPraLab3, P1.08% F. Solsona%Friday%15:00%16:50%2%1
SISTEMES OPERATIUS%Teo1T, 0.04% F. Cores/S. Lopez*%Monday%17:10%19:00%2%1
BASES DE DADES%Teo2T/PraAula2, 0.03% M. Oliva/R. Ariño/ A. Corchero%Monday%17:10%19:00%2%1
ESTRUCTURES DE DADES%GPraLab1, P1.08% J.J. Domingo%Tuesday%17:10%19:00%2%1
MATEMÀTICA DISCRETA%Teo2T, 0.04% I. López%Tuesday%17:10%19:00%2%1
MATEMÀTICA DISCRETA%PraAula1T, 0.03% I. López/J. M. Ceresuela%Wednesday%17:10%19:00%2%1
ESTRUCTURES DE DADES%Teo2T, 0.04% J.E. Garrido%Wednesday%17:10%19:00%2%1
BASES DE DADES%Teo1T/PraAula1, 0.04% M. Oliva/R. Ariño/ A. Corchero*%Thursday%17:10%19:00%2%1
SISTEMES OPERATIUS%Teo2T, 0.03% F. Solsona/S. Lopez%Thursday%17:10%19:00%2%1
SISTEMES OPERATIUS%GPraLab1, 0.04+AM% V. Pardo*%Friday%17:10%19:00%2%1
ESTRUCTURES DE DADES%GPraLab3, P1.08% J. M. Gimeno%Friday%17:10%19:00%2%1
ASPECTES LEGALS, SOCIALS I PROFESSIONALS%Teoria Grup Únic, P1.12% J. Argelich/R. Arnó%Monday%9:00%10:50%3%1
ENGINYERIA DEL PROGRAMARI%GPraLab1, 0.04 + AM% M. Sendín*%Tuesday%9:00%10:50%3%1
SISTEMES CONCURRENTS I PARAL·LELS%GPraLab2, GPraLab2, 0.08 (L4% F. Cores%Tuesday%9:00%10:50%3%1
INTEL·LIGÈNCIA ARTIFICIAL%GPraLab1, P1.09% J. Alòs/E. Torres%Wednesday%9:00%10:50%3%1
ADMINISTRACIÓ I MANTENIMENT DE SISTEMES I APLICACIONS%GPraLab2, 0.08 (L4)% F. Solsona%Wednesday%9:00%10:50%3%1
ENGINYERIA DEL PROGRAMARI%Teoria Grup Únic, 0.04% M. Sendín*%Thursday%9:00%10:50%3%1
ADMINISTRACIÓ I MANTENIMENT DE SISTEMES I APLICACIONS%Teoria Grup Únic, P2.09% F. Solsona%Friday%9:00%10:50%3%1
SISTEMES CONCURRENTS I PARAL·LELS%GPraLab1, 0.08 (L4)% F. Cores%Tuesday%11:10%13:00%3%1
ENGINYERIA DEL PROGRAMARI%GPraLab2, P1.09% M. Sendín%Tuesday%11:10%13:00%3%1
ADMINISTRACIÓ I MANTENIMENT DE SISTEMES I APLICACIONS%GPraLab1, P1.09% F. Solsona%Wednesday%11:10%13:00%3%1
INTEL·LIGÈNCIA ARTIFICIAL%GPraLab1, 0.08 (L4)% J. Alòs/E. Torres%Wednesday%11:10%13:00%3%1
SISTEMES CONCURRENTS I PARAL·LELS%Teoria Grup Únic, 0.04% F. Cores%Thursday%11:10%13:00%3%1
INTEL·LIGÈNCIA ARTIFICIAL%Teoria Grup Únic, P2.09% E. Torres/J. Alòs%Friday%11:10%13:00%3%1
SEGURETAT D'APLICACIONS I COMUNICACIONS%Alcatel 1.02% C. Fernández/C. Mateu/F. Sebé%Tuesday%15:00%16:50%4%1
EINES COMPUTACIONALS PER A LA RESOLUCIÓ DE PROBLEMES%English) (P2.11% J. Pujolàs/J. M. Miret%Tuesday%15:00%16:50%4%1
ARQUITECTURES DE PROGRAMARI%English) (P1.09% R. García/A. Berga/F. Contreras%Tuesday%15:00%16:50%4%1
SEGURETAT D'APLICACIONS I COMUNICACIONS%Alcatel 1.02% C. Fernández/C. Mateu/F. Sebé%Wednesday%15:00%16:50%4%1
EINES COMPUTACIONALS PER A LA RESOLUCIÓ DE PROBLEMES%English) (P1.09% J. Pujolàs/J. M. Miret%Wednesday%15:00%16:50%4%1
ARQUITECTURES DE PROGRAMARI%English) (P1.04% R. García/A. Berga/F. Contreras%Wednesday%15:00%16:50%4%1
SEGURETAT D'APLICACIONS I COMUNICACIONS%Alcatel 1.02% C. Fernández/C. Mateu/F. Sebé%Thursday%15:00%16:50%4%1
COMPUTACIÓ DISTRIBUÏDA%English) (P1.09% J. L. Lérida/E. Gabaldón/J. Gervás%Thursday%15:00%16:50%4%1
ENGINYERIA DEL PROGRAMARI LLIURE%P1.04% J. M. Gimeno/M. Sendín%Thursday%15:00%16:50%4%1
COMPUTACIÓ DISTRIBUÏDA%English) (P1.09% J. L. Lérida/E. Gabaldón/J. Gervás%Tuesday%17:10%19:00%4%1
COMPUTACIÓ DISTRIBUÏDA%English) (P1.09% J. L. Lérida/E. Gabaldón/J. Gervás%Wednesday%17:10%19:00%4%1
ENGINYERIA DEL PROGRAMARI LLIURE%P1.04% J. M. Gimeno/M. Sendín%Wednesday%17:10%19:00%4%1
ARQUITECTURES DE PROGRAMARI%English) (P1.09% R. García/A. Berga/F. Contreras%Thursday%17:10%19:00%4%1
